title,author,date
悦经典系列16：春琴抄,谷崎润一郎,2017年7月8日
摆渡人（媲美《追风筝的人》《偷影子的人》心灵治愈系小说。畅销欧美33个国家，荣获多项图书大奖。）,(英)克莱儿·麦克福尔,2017年7月8日
梦的解析（经典畅销版）,西格蒙德·弗洛伊德,2017年7月8日
秘密,(日)东野圭吾,2017年7月8日
追忆逝水年华 (译文名著精选),马塞尔·普鲁斯特(Marcel Proust),2017年7月8日
假面饭店,东野圭吾,2017年7月8日
菊与刀（唯一一本名家作序·慢读系列）,鲁思·本尼迪克特,2017年7月8日
小王子(65周年纪念版),圣埃克絮佩里(Saint-Exupery),2017年7月8日
一个陌生女人的来信(外研社双语读库) (译文/名著文库) (English Edition),斯蒂芬·茨威格(Stephan Zweig),2017年7月8日
24个比利,丹尼尔·凯斯,2017年7月8日
情人（征服亿万读者的畅销小说大师渡边淳一，演绎了当代都市社会中超越常规的情爱生活，深度探讨婚姻是否就是爱情的归宿。）,渡边淳一,2017年7月8日
人间失格 (太宰治灵魂深处无助的生命绝唱 献给迷茫中挣扎的人),太宰治,2017年7月8日
怒（试读本）（日本重量级芥川奖作家）,[日]吉田修一,2017年7月7日
下一站，伊朗 (世界遗产地理·口袋旅行笔记),世界遗产地理,2017年7月2日
牛虻（被遗忘的世界名著）,(爱尔兰)伏尼契,2017年6月28日
没有个性的人（套装上下册） (^_^),罗伯特·穆齐尔(Robert Musil),2017年6月28日
人间椅子 (午夜文库),江户川乱步,2017年6月20日
童年的消逝,尼尔·波兹曼,2017年6月3日
A Manual for Cleaning Women: Selected Stories (English Edition),Lucia Berlin,2017年6月3日
娱乐至死,尼尔·波兹曼,2017年6月2日
"华兹华斯""化身""诗学研究",赵光旭,2017年5月17日
凯尔特的薄暮(外研社双语读库) (English Edition),[爱尔兰] 威廉·巴特勒·叶芝（William Butler Yeats）,2017年5月10日
The Green Helmet and Other Poems (免费公版书) (English Edition),W. B. (William Butler) Yeats,2017年5月10日
尤利西斯(中英双语)（全2册）,詹姆斯•乔伊斯,2017年5月7日
"Royal Edinburgh Her Saints, Kings, Prophets and Poets (English Edition)",Mrs. (Margaret) Oliphant,2017年5月6日
英诗经典名家名译:华兹华斯诗选(英汉对照)(图文版) (English Edition),威廉•华兹华斯,2017年4月30日
缘缘堂随笔 (民国学术文化名著),丰子恺,2017年4月20日
穷游锦囊：伦敦,穷游网,2017年4月7日
穷游锦囊：爱尔兰,穷游,2017年4月7日
穷游锦囊：骑行台湾,穷游网,2017年3月28日
穷游锦囊：台北,穷游网,2017年3月28日
洪堡的礼物（1976年获普利策奖，真实地再现了当代美国社会光怪陆离的生活画面） (索尔·贝娄作品集),[美] 索尔·贝娄,2017年3月14日
更多的人死于心碎（对当代文化富于人性的理解和精妙的分析） (索尔·贝娄作品集),[美] 索尔·贝娄,2017年3月15日
Waking Kate (English Edition),Sarah Addison Allen,2017年3月5日
了不起的匠人（全20册套装）(火爆话题匠人纪录片！豆瓣评分8.5！人民日报力荐！）,知了青年,2017年3月5日
Lonely Planet Accessible Melbourne (Travel Guide) (English Edition),Lonely Planet,2017年3月5日
精进：如何成为一个很厉害的人（知乎604939个赞同认证的惊喜之作！豆瓣9.4分高分推荐！）,采铜,2017年3月4日
热爱澳大利亚的99个细节,王雨萌,2017年3月1日
斯坦福极简经济学 (博集经管商务必读系列),(美)泰勒,2017年2月26日
诺贝尔文学奖作品典藏书系:丛林之书,J.吉卜林,2017年2月21日
妻妾成群 (中篇小说金库),苏童,2017年2月21日
非典型总统特朗普 (博集经管商务必读系列),财新传媒,2017年1月24日
医生为何成了“高危职业”？ (香港凤凰周刊精选故事),凤凰周刊,2017年1月24日
渔人的葬礼——十五年前的灾难记忆 (香港凤凰周刊精选故事),凤凰周刊,2017年1月24日
麻风病患：被隔绝的与被遗忘的 (香港凤凰周刊精选故事),凤凰周刊,2017年1月24日
精神病人：逃离病笼 (香港凤凰周刊精选故事),凤凰周刊,2017年1月24日
微表情心理学,哈里·巴尔肯,2017年1月17日
自我的超越性:一种现象学描述初探 (汉译世界学术名著丛书),让-保尔·萨特(Sartre.J.P.),2017年1月14日
把世界的重量担在肩上：萨特导读（大师阅读课系列）,罗伯特·贝纳斯科尼,2017年1月14日
女宾——《第二性》作者波伏娃首次授权中文电子书！ (西蒙娜·德·波伏瓦作品系列),西蒙娜·德·波伏瓦(Simone de Beauvoir),2017年1月13日
我所经历的日本生活 (千种豆瓣高分原创作品·在他乡),梵婀伶,2017年1月9日
中国误会了袁世凯（读客熊猫君出品。） (读客这本史书真好看文库),吕峥,2017年1月9日
日本论 (你不知道的社科常识-趣味系列 4),戴季陶,2017年1月9日
弗洛伊德，性学与爱情心理学(经典畅销版),西格蒙德·弗洛伊德,2017年1月9日
风口上的猪——一本书看懂互联网金融,肖璟,2017年1月9日
唐辛子IN日本:有关教育、饮食和男女,唐辛子,2017年1月9日
Tor.com Publishing Fall 2015 Sampler (English Edition),Kai Ashante Wilson,2017年1月9日
品质德国 (中国故事),财新传媒,2017年1月9日
亲密关系 (博集外国文学书榜系列),孟(Moon C.),2017年1月6日
